# mesh name: boxMesh_1
# primitive scorer name: boxMesh_1
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,0.005225517213554305,2.730603014915236e-05,1
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,7,0.01955845454236927,0.0003825331440859253,1
0,0,8,0,0,0
0,0,9,0.03037000213166419,0.0009223370294772873,1
0,0,10,0.02160035050500574,0.0004665751419391017,1
0,0,11,0.03216625583349975,0.0006765416912380876,2
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,0,0,0
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0.04769465327948499,0.001200369685597043,2
0,0,18,0.02065262243407597,0.0004265308134044981,1
0,0,19,0,0,0
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0.005007761346887562,2.507767370738113e-05,1
0,0,24,0.02567674085094149,0.0006592950207264075,1
0,0,25,0,0,0
0,0,26,0,0,0
0,0,27,0,0,0
0,0,28,0,0,0
0,0,29,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0,0,0
0,1,3,0,0,0
0,1,4,0,0,0
0,1,5,0,0,0
0,1,6,0.02081956645427699,0.0004334543473440555,1
0,1,7,0.02015045971900642,0.0004060410268873003,1
0,1,8,0,0,0
0,1,9,0,0,0
0,1,10,0.004741035021238954,2.247741307261425e-05,1
0,1,11,0.008402574763883621,7.060326266265389e-05,1
0,1,12,0,0,0
0,1,13,0,0,0
0,1,14,0,0,0
0,1,15,0,0,0
0,1,16,0.02134010639363096,0.0004554001408914888,1
0,1,17,0.01926254887323176,0.0002573642778409723,2
0,1,18,0,0,0
0,1,19,0,0,0
0,1,20,0.005103372061930469,2.604440640249244e-05,1
0,1,21,0.02124751748189483,0.0004514569991434263,1
0,1,22,0,0,0
0,1,23,0,0,0
0,1,24,0,0,0
0,1,25,0,0,0
0,1,26,0,0,0
0,1,27,0,0,0
0,1,28,0,0,0
0,1,29,0,0,0
0,2,0,0,0,0
0,2,1,0,0,0
0,2,2,0,0,0
0,2,3,0,0,0
0,2,4,0,0,0
0,2,5,0,0,0
0,2,6,0.01612331480744815,0.0002599612803800767,1
0,2,7,0,0,0
0,2,8,0,0,0
0,2,9,0,0,0
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,0,0,0
0,2,13,0,0,0
0,2,14,0,0,0
0,2,15,0,0,0
0,2,16,0.0131008689788694,0.0001716327680015027,1
0,2,17,0,0,0
0,2,18,0,0,0
0,2,19,0.02426595573527378,0.0005888366077462664,1
0,2,20,0.00151302376662069,2.289240918359061e-06,1
0,2,21,0,0,0
0,2,22,0,0,0
0,2,23,0.02841540758832446,0.0008074353884106075,1
0,2,24,0,0,0
0,2,25,0.01595860409014752,0.0002546770445060732,1
0,2,26,0.01196160214994354,9.940151164098155e-05,2
0,2,27,0,0,0
0,2,28,0.01150206688816153,0.0001322975426997418,1
0,2,29,0.03861286434535913,0.0007604848724200008,2
0,3,0,0,0,0
0,3,1,0,0,0
0,3,2,0,0,0
0,3,3,0,0,0
0,3,4,0,0,0
0,3,5,0,0,0
0,3,6,0,0,0
0,3,7,0,0,0
0,3,8,0,0,0
0,3,9,0,0,0
0,3,10,0,0,0
0,3,11,0,0,0
0,3,12,0,0,0
0,3,13,0,0,0
0,3,14,0,0,0
0,3,15,0,0,0
0,3,16,0.02097191785356304,0.000439821338456596,1
0,3,17,0,0,0
0,3,18,0,0,0
0,3,19,0.002127053003730871,4.524354480680522e-06,1
0,3,20,0.009858567093764819,9.719134514226251e-05,1
0,3,21,0,0,0
0,3,22,0,0,0
0,3,23,0.009354761113413934,8.751155548904149e-05,1
